POST,Status Code,Response Size,city_id,change_latitude,current_latitude,type,newSearch,listType,response_time,datetime
/test/v1/citySelect,200,12820,466,19.1181855,19.1181855,,,,9.411 ms,12/Jul/2021:06:37:20 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.951 ms,12/Jul/2021:06:38:00 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.870 ms,12/Jul/2021:06:38:18 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.425 ms,12/Jul/2021:06:38:21 +0000
/test/v1/citySelect,200,12820,466,19.1180589,19.1180589,,,,8.060 ms,12/Jul/2021:06:39:27 +0000
/test/v1/citySelect,200,13131,466,19.1180589,19.1180589,City,1.0,search,5.665 ms,12/Jul/2021:06:39:27 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.128 ms,12/Jul/2021:07:33:14 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.031 ms,12/Jul/2021:07:33:21 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.208 ms,12/Jul/2021:07:33:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.748 ms,12/Jul/2021:07:33:59 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.713 ms,12/Jul/2021:07:36:49 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.413 ms,12/Jul/2021:07:36:57 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.599 ms,12/Jul/2021:07:36:57 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.623 ms,12/Jul/2021:07:44:08 +0000
/test/v1/privacy,200,14322,,,,,,,4.624 ms,12/Jul/2021:07:44:09 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.004 ms,12/Jul/2021:07:44:17 +0000
/test/v1/privacy,200,14322,,,,,,,2.976 ms,12/Jul/2021:07:44:23 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.646 ms,12/Jul/2021:07:44:30 +0000
/test/v1/privacy,200,14322,,,,,,,2.520 ms,12/Jul/2021:07:44:34 +0000
/test/v1/citySelect,200,12812,427,25.0857185,25.0857185,,,,5.510 ms,12/Jul/2021:07:44:36 +0000
/test/v1/citySelect,200,13131,427,25.0857185,25.0857185,City,1.0,search,6.296 ms,12/Jul/2021:07:44:36 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.868 ms,12/Jul/2021:07:46:57 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.124 ms,12/Jul/2021:07:47:13 +0000
/test/v1/send_notification,200,2,,,,,,,30.414 ms,12/Jul/2021:08:00:01 +0000
/test/v1/send_notification,200,2,,,,,,,14.459 ms,12/Jul/2021:08:00:01 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.698 ms,12/Jul/2021:08:33:19 +0000
/test/v1/privacy,200,14322,,,,,,,2.642 ms,12/Jul/2021:08:33:29 +0000
/test/v1/check_user_exists,200,113,,,,EMAIL,,,2.563 ms,12/Jul/2021:08:35:12 +0000
/test/v1/user_create,200,802,,,,EMAIL,,,6.987 ms,12/Jul/2021:08:35:15 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.999 ms,12/Jul/2021:08:35:15 +0000
/test/v1/save_device_token,200,82,,,,,,,6.977 ms,12/Jul/2021:08:35:16 +0000
/test/v1/privacy,200,14322,,,,,,,2.479 ms,12/Jul/2021:08:35:23 +0000
/test/v1/check_user_exists,200,65,,,,EMAIL,,,2.473 ms,12/Jul/2021:08:35:31 +0000
/test/v1/check_user_exists,200,113,,,,EMAIL,,,2.548 ms,12/Jul/2021:08:35:34 +0000
/test/v1/user_create,200,183,,,,EMAIL,,,2.724 ms,12/Jul/2021:08:35:41 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.687 ms,12/Jul/2021:08:42:04 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.972 ms,12/Jul/2021:08:52:35 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,18.776 ms,12/Jul/2021:08:52:50 +0000
/test/v1/friends_category_grabs,200,1039,466,19.1181031,19.1181031,,,,64.131 ms,12/Jul/2021:08:52:51 +0000
